,,,,,,,,,,,,,label
9.22E+17,2009-12-22 08:38:41+00:00, ,6920000000,en,0,0,0,0,,RT @kazitoshi: to wash down e halal bak kut teh RT @singapore_news: Be careful wht u r drink.. it cld be ur $T$'s piss http://bit.ly/7cZOTM,maid,Foreign domestic workers,-1
80034110,2017-08-17 03:32:05+00:00, ,8.98E+17,en,0,0,0,0,,Singaporean woman faces 13 charges for not paying $T$__ wages for nearly a year https://t.co/EJRfNIhJKe,maid,Foreign domestic workers,-1
589000000,2020-04-29 09:16:51+00:00, ,1.26E+18,en,1,0,0,0,,"Singapore: As of Tuesday, coronavirus cases linked to $T$ dormitories accounted for 88 percent of Singapore__ 14,446 cases, including more than 1,400 new cases in a single day.(NYT)",migrant worker,Migrant workers,-1
171000000,2015-09-22 10:57:48+00:00, ,6.46E+17,en,1,0,0,1,,4 months???? jail for Filipino who made $T$ remarks against Singaporeans - Channel NewsAsia http://t.co/KtsakZaMqN,xenophobic,Xenophobia and racism,-1
99331852,2011-07-26 10:00:33+00:00, ,9.58E+16,en,0,0,0,0,,DTN Singapore: S'pore achieves best ever showing at International Math Olympiad: SINGAPORE: Singapore $T$ h... http://bit.ly/oeVoGP,international students,Foreign talents,1
1490000000,2015-10-29 07:16:03+00:00, ,6.60E+17,en,0,0,0,0,,"Social experiment challenge$T$ head-on, AsiaOne Singapore?News https://t.co/zj0EmNb9Gx",racism,Xenophobia and racism,0
65421767,2020-05-03 17:14:35+00:00, ,1.26E+18,en,0,0,0,0,,"Singapore 'knew' $T$s outbreak would be a 'stress point,' diplomat says from @CNBC  https://t.co/kNkoS51O1w",foreign worker,Migrant workers,-1
270000000,2021-06-23 13:07:51+00:00, ,1.41E+18,en,0,0,0,0,,Singapore woman jailed 30 years for killing Myanmar $T$ she tortured and starved - https://t.co/C7Vox2eb7w https://t.co/Bfe4UmkqHB,maid,Foreign domestic workers,-1
8.79E+17,2020-06-25 16:14:50+00:00, ,1.28E+18,en,0,0,0,2494,,"RT @ummrogix_: Anyone still wanna tell me $T$ doesnt exist in Singapore?? 

Change my MIND ???????? https://t.co/bEdDz7tKMM",racism,Xenophobia and racism,-1
288000000,2019-07-29 14:56:39+00:00, ,1.16E+18,en,0,0,0,783,,RT @NazyahKhan: wait why am i seeing chinese people trying to justify that there is ????only a little $T$ left???? in singapore on this app. T,racism,Xenophobia and racism,-1
966000000,2011-12-14 21:17:07+00:00, ,1.47E+17,en,0,0,0,24,,"RT @dee_kosh: I grew up in the Philippines - ive seen poverty, Ive seen $T$, Ive seen death,Singapore doesnt see this - thats why we  ...",racism,Xenophobia and racism,1
8453452,2012-06-16 09:33:14+00:00, ,2.14E+17,en,0,0,0,0,,Indonesian $T$ supply slows down amid recruitment costs:  The supply of Indonesian $T$s headed here has slowed... http://t.co/xoqYiKlq,maid,Foreign domestic workers,0
9.35E+17,2015-10-22 11:43:19+00:00, ,6.57E+17,en,0,0,0,0,,$T$ leapt to death from 14th floor of condo after attacking employer with a ... - The Straits Times https://t.co/DIX9A2mw50,maid,Foreign domestic workers,-1
37890902,2016-01-26 04:45:16+00:00, ,6.92E+17,en,0,0,0,0,,"430,000 Travellers Expected Daily at Land Checkpoints in #Singapore &amp; #Malaysia Over #CNY Peak Period (STcom) https://t.co/cqr2pVbRzT #News",ICA,Immigration policy,0
345000000,2018-01-17 06:58:32+00:00, ,9.54E+17,en,0,0,0,0,,"In both cases, men had approached the female $T$, asking them to get into a van. https://t.co/TBESxKjxWM",international students,Foreign talents,0
326000000,2016-08-18 03:23:04+00:00, ,7.66E+17,en,0,0,0,4336,,"RT @SoSingaporean: $T$ or not, these are outright display of chinese privilege that exists in Singapore and it has to stop https://t.co/",racist,Xenophobia and racism,-1
27598291,2013-12-09 02:10:52+00:00, ,4.10E+17,en,0,0,0,0,,"Riots in Singapore!
$T$ is deadly dangerous.",racism,Xenophobia and racism,-1
271000000,2016-04-02 12:43:20+00:00, ,7.16E+17,en,0,0,0,0,,ASIAONE | Chinese national acquitted of using fake work $T$ https://t.co/Jv0S32teiv #sgnews https://t.co/5vl5XcOxQf,work pass,Migrant workers,-1
565000000,2020-08-27 12:38:55+00:00, ,1.30E+18,en,0,0,0,14,,"RT @STcom: Minimum salary for $T$ to rise to $4,500, from $3,900; even higher qualifying salary of $5,000 for financial service",employment pass,Foreign talents,0
53310256,2015-01-26 09:41:43+00:00, ,5.60E+17,en,0,0,0,0,,I posted 30 photos on Facebook in the album "$T$ in Singapore" http://t.co/N80voa7pj1,international students,Foreign talents,0
184000000,2018-11-26 04:17:59+00:00, ,1.07E+18,en,4,0,0,1,,"$T$ officer at Tuas checkpoint directed a Malaysia-registered lorry for further checks on 23 Nov. A total of 7,500 cartons of duty-unpaid cigarettes were uncovered from the lorry. The case was referred to Singapore Customs for investigation. Read on - https://t.co/OOjZbghn6n https://t.co/4M30lXfyon",ICA,Immigration policy,0
205000000,2010-12-23 14:00:09+00:00, ,1.79E+16,en,0,0,0,0,,Asiabizsetup Provides Singapore $T$ application In Your Behalf http://www.dwi-lawer.info/?p=361403,employment pass,Foreign talents,0
1.12E+18,2012-07-03 05:04:01+00:00, ,2.20E+17,en,0,0,0,0,,DTN Singapore: Swiss man pleads not guilty to underage sex charges: SINGAPORE: 40-year-old Swis$T$ Juer... http://t.co/9VHguUca,expatriate,Foreign talents,-1
139000000,2015-05-20 10:42:38+00:00, ,6.01E+17,en,0,0,0,0,,"New Policy of S $T$ and $T$ applicants for Singapore

In a latest development the reputed Study... http://t.co/pPF5eRVnKe",employment pass,Foreign talents,0
1.30E+18,2021-11-29 02:40:36+00:00, ,1.47E+18,en,0,0,0,0,,"Singapore - Updates on $T$ For Travellers And Extending Vaccinated Travel Lanes. #singapore #bordercontrol

https://t.co/FXXKIOBKMi

https://t.co/mmt2226ETr https://t.co/PUVbmR53k4",ICA,Immigration policy,0
330000000,2021-08-19 11:00:08+00:00, ,1.43E+18,en,0,0,0,0,,Covid-19: $T$ to issue tamper-proof vaccination sticker to newly arrived travellers immunised abroad https://t.co/5W6D8OJgDn,ICA,Immigration policy,0
1.19E+18,2020-10-19 17:27:55+00:00, ,1.32E+18,en,0,0,0,0,,Singapore government explains here what you must do before entering the country: https://t.co/9gWzQGmERc,ICA,Immigration policy,0
64684768,2015-10-21 00:39:33+00:00, ,6.57E+17,en,0,0,0,19,,RT @STcom: #Singapore signs pact against $T$ https://t.co/9d0wzOsb9n https://t.co/AgO1vNDs0F,racial discrimination,Xenophobia and racism,1
7.75E+17,2016-02-19 14:21:48+00:00, ,7.01E+17,en,0,0,0,0,,"REDWIRE TIMES | $T$ Officer Accused of Owing S$12,000 and Going MIA, but Still Active on_ https://t.co/Cnon6E684a https://t.co/DCGgqeVT4m",ICA,Immigration policy,-1
1.19E+18,2021-06-29 06:00:29+00:00, ,1.41E+18,en,0,0,0,151,,"RT @$T$ikedonline: Singapore is planning to end all its Covid $T$. There will be no more lockdowns, no more travel bans and no more",travel restrictions,Travel restrictions,0
3070000000,2018-07-13 09:56:59+00:00, ,1.02E+18,en,1,3,1,5,,"Father of two jailed 11 months for r$T$eatedly molesting $T$, causing her to flee one night https://t.co/PS69kI8fCu https://t.co/mOYOnac$T$J",maid,Foreign domestic workers,-1
8.61E+17,2012-04-19 06:39:03+00:00, ,1.93E+17,en,0,0,0,0,,http://t.co/HxRU8CHQ- S-$T$ for Singapore ($T$) Hotel Managements Candidate only_ http://t.co/Veh97T3j,work permit,Migrant workers,0
2310000000,2020-07-22 09:29:29+00:00, ,1.29E+18,en,0,0,0,47,,RT @TODAYonline: NLB removes Chinese-language children's book from libraries after complaint about '$T$' content https://t.co/PDCGHrHoz4,racist,Xenophobia and racism,1
900000000,2013-05-16 03:54:28+00:00, ,3.35E+17,en,0,0,0,0,,Singapore to revoke protester's $T$: KUALA LUMPUR: Singapore will revoke the $T$ of a Malaysia... http://t.co/l6xywzt7BO,work permit,Migrant workers,0
208000000,2016-02-10 09:03:23+00:00, ,6.97E+17,en,0,0,0,0,,"Retiree with schizophrenia given 21 months' supervised probation for $T$ abuse: TODAY reports: Lum Wai Lui, 7... https://t.co/t6VQEuVxVW",maid,Foreign domestic workers,-1
70921681,2016-04-08 09:43:35+00:00, ,7.18E+17,en,0,0,0,0,,"$T$ warns public about fake website: The unauthorised website, which uses the URL https://t.co/6T7uXQASK9 pretends_ https://t.co/mE0ysYMDzy",ICA,Immigration policy,0
48239487,2019-04-26 13:02:33+00:00, ,1.12E+18,en,0,0,0,0,,Singapore__ $T$ Settling-In Programme extended beyond construction sector https://t.co/uetBkUtMyp,foreign worker,Migrant workers,0
30322846,2020-05-12 07:45:31+00:00, ,1.26E+18,en,0,0,0,1,,"RT @CU_Singapore: We just launched a Pre-sessional English Online Award on https://t.co/3UTt2db5F4,  to help $T$ build t",international students,Foreign talents,0
396000000,2020-04-21 07:49:51+00:00, ,1.25E+18,en,0,1,0,0,,"SG reported 1,111 new COVID-19 cases on Tuesday (Apr 21), taking the national total to 9,125.__

The vast majority of the new cases are $T$ holders residing in $T$ dormitories,_@ MOH said in its release of preliminary figures.

https://t.co/uAr3OlMSCD",work permit,Migrant workers,0
555000000,2020-08-22 07:32:18+00:00, ,1.30E+18,en,48,1,1,10,,????There is nothing we can do to change anything????. There are absolutely things that we can do. I would suggest we start by not telling Malays to leave Singapore because we are unhappy about them talking about $T$. https://t.co/NO4KcfTCb0,racism,Xenophobia and racism,-1
3150000000,2016-05-06 11:51:25+00:00, ,7.29E+17,en,0,0,0,4336,,"RT @SoSingaporean: $T$ or not, these are outright display of chinese privilege that exists in Singapore and it has to stop https://t.co/",racist,Xenophobia and racism,-1
2290000000,2017-12-16 09:09:14+00:00, ,9.42E+17,en,0,0,0,8,,"RT @HackettNicholas: @RedHotSquirrel You only need to travel east-  Dubai, Abu Dhabi, Kuala Lumpur, Singapore, Seoul, China etc etc to real",travel restrictions,Travel restrictions,0
324000000,2014-11-25 05:10:38+00:00, ,5.37E+17,en,0,0,0,0,,"sanjobaba $T$ Agencies: $T$ Agencies, There could be a dearth of female Indonesian $T$s in Singapore -_ http://t.co/zVkQKLiTzR",maid,Foreign domestic workers,-1
32987475,2019-01-18 20:30:46+00:00, ,1.09E+18,en,0,0,0,0,,"Married couple convicted of abusing $T$ who was ordered to pour hot water on herself, Courts &amp; Crime News &amp; Top Stories - The Straits Times - https://t.co/HFupVcI1Gr",maid,Foreign domestic workers,-1
172000000,2021-05-17 10:16:36+00:00, ,1.39E+18,en,1,0,0,1,,"#Singapore DJ's saga of COVID-infected $T$ being prematurely released from quarantine has people questioning if the country's stringent $T$ are laxer than they appear.
https://t.co/oRucmcPsG7",maid,Foreign domestic workers,-1
64956997,2017-03-22 08:54:00+00:00, ,8.44E+17,en,0,0,0,0,,"Over 2,000 cartons of duty-unpaid cigarettes seized by $T$ at Tuas checkpoint https://t.co/yZ9SwIofmq",ICA,Immigration policy,0
9.52E+17,2011-08-10 06:17:44+00:00, ,1.01E+17,en,0,0,0,0,,$T$ charged with hurting employer with knife: SINGAPORE: A 28-year-old Indonesian $T$ was charged on Wednesday... http://bit.ly/n4vnXN,maid,Foreign domestic workers,-1
702000000,2022-01-05 14:36:00+00:00, ,1.48E+18,en,0,0,0,7,,RT @straits_times: Tightened $T$ helped buy time to pr$T$are healthcare system for Covid-19 Omicron variant: Lawrence Wong https_?,border measures,Travel restrictions,0
1.14E+18,2011-08-03 15:27:19+00:00, ,9.88E+16,en,0,0,0,0,,@wristone aiyah. No choice. Actually singapore $T$ one.,racist,Xenophobia and racism,-1
204000000,2021-07-14 13:18:41+00:00, ,1.42E+18,en,0,0,0,335,,"RT @ChannelNewsAsia: COVID-19: Singapore to stop entry for long-term $T$ holders, short-term visitors with travel history to Myanmar https_?
730691906,2021-07-14 13:18:18+00:00, ,1415299617512562690,en,0,0,0,335, ,RT @ChannelNewsAsia: COVID-19: Singapore to stop entry for long-term $T$ holders",border measures,Travel restrictions,0
15466598,2020-01-18 05:24:07+00:00, ,1.22E+18,en,9,0,0,14,,$T$ arrested at Changi airport after she allegedly attacked employer with knife https://t.co/RPPoyRDdyz,maid,Foreign domestic workers,-1
1.15E+18,2016-04-29 10:28:12+00:00, ,7.26E+17,en,0,0,0,0,,TODAY | PrimaDeli sacks staff for making $T$ remarks during job interview https://t.co/ygqHwZSSRr https://t.co/ebxTc5hEc1,racist,Xenophobia and racism,-1
8.26E+17,2013-12-09 10:41:12+00:00, ,4.10E+17,en,0,0,0,0,,$T$ riot shocks Singapore - AFP: AFP$T$ riot shocks SingaporeAFPSingapore _ Singapore fa... http://t.co/F4CW3oFWzp,foreign worker,Migrant workers,-1
34918368,2021-07-14 05:38:28+00:00, ,1.42E+18,en,0,0,0,5,,"RT @$T$oreMOH: From 15 Jul, 2359h, all long-term $T$ holders and short-term visitors with recent travel history to Myanmar within the last_?
1288764065905389568,2021-07-14 05:35:59+00:00, ,1415183272661946368,en,0,0,0,335, ,RT @ChannelNewsAsia: COVID-19: Singapore to stop entry for long-term $T$ holders",border measures,Travel restrictions,0
9.22E+17,2012-07-20 11:41:40+00:00, ,2.26E+17,en,0,0,0,0,,International youth leaders take part in visit to MediaCorp: SINGAPORE: Some 70 $T$ from 12 countries went ... http://t.co/gJ2e8Sjt,international students,Foreign talents,0
1.39E+18,2011-05-01 11:41:26+00:00, ,6.47E+16,en,0,0,0,0,,"GE: $T$ issue a serious one for S'pore, says Wong Kan Seng: SINGAPORE : D$T$uty Prime Minister Wong Ka... http://bit.ly/mvvVlM",foreign worker,Migrant workers,-1
279000000,2019-05-08 10:39:33+00:00, ,1.13E+18,en,0,0,0,0,,"Jail for couple who abused $T$ by slapping and strangling her, biting her wrist https://t.co/FQ4JAwasme https://t.co/AWKSWAxGnI",domestic helper,Foreign domestic workers,-1
372000000,2020-05-29 06:58:17+00:00, ,1.27E+18,en,868,35,8,689,,I don't understand some woke Chinese people's selective rage and activism. You're so quick to call out $T$ in  but can't seem to call out the BS that's happening in Singapore? Cut that crap,racism,Xenophobia and racism,-1
66555688,2019-10-29 11:05:40+00:00, ,1.19E+18,en,0,0,0,1366,,"RT @Ganeshspeaks: I thought Singapore got no $T$ one? Ahnei your mother di, pulutha pusunika pundeh. ?????????? https://t.co/yRgDaWQNHl",racism,Xenophobia and racism,-1
28987842,2020-11-01 15:36:39+00:00, ,1.32E+18,en,17,2,0,0,,High Court overturns Filipino $T$'s conviction for theft https://t.co/rhYsSeljGK,maid,Foreign domestic workers,-1
201000000,2020-03-22 10:12:12+00:00, ,1.24E+18,en,0,0,0,299,,RT @ChannelNewsAsia: TAKE NOTE: Singapore's latest #COVID19 border control $T$ which will take effect from Mar 23 at 11.59PM https://t_?,border measures,Travel restrictions,0
1010000000,2013-10-20 07:08:39+00:00, ,3.92E+17,en,0,0,0,0,,5 Ways To Choose The Right Part Time $T$ in Singapore: http://t.co/BvqIcoR8LA,maid,Foreign domestic workers,0
548000000,2020-11-13 04:59:50+00:00, ,1.33E+18,en,0,0,0,0,,"New work $T$ in Singapore for top-tier foreign tech professionals to launch in January

LetsTalkCity #Business #Jobs #Work$T$
#Singapore #SoutheastAsia 
https://t.co/Ank8nRB38x
Via https://t.co/OAnBvgmh99 https://t.co/itkhY1h3ln",work pass,Migrant workers,0
43468679,2013-12-08 15:56:41+00:00, ,4.10E+17,en,0,0,0,13,,"RT @MARZUKINOORANAS: ""$T$ are needed in Singapore""

See?!  that's what you get; a fucking",foreign talents,Foreign talents,-1
17966994,2014-11-25 07:09:22+00:00, ,5.37E+17,en,0,0,1,2,,So much fucking $T$ in Singapore ffs,racism,Xenophobia and racism,-1
427000000,2011-06-13 15:37:03+00:00, ,8.03E+16,en,0,0,0,1,,CNA - Some 900  passports checked & corrected following glitch: $T$: SINGAPORE : The Immigration & Checkpoints Au... http://bit.ly/lmWBUF,ICA,Immigration policy,0
1380000000,2013-08-10 17:39:15+00:00, ,3.66E+17,en,0,0,0,217,,RT @Baazzzil: I wanna migrate. Singapore is expensive. Singapore ha$T$. Singapore needs certs for everything. Singapore isn't Singapor,racism,Xenophobia and racism,-1
1200000000,2011-05-03 16:34:27+00:00, ,6.55E+16,en,0,0,0,0,,[SINGAPORE] $T$ reminds holiday-goers to check  passports http://bit.ly/mBAURs,ICA,Immigration policy,0
480000000,2016-05-09 00:33:13+00:00, ,7.29E+17,en,0,0,0,0,,SINGA 2017 PhD Awards For $T$ In Singapore https://t.co/54WqtfCm5K,international students,Foreign talents,0
2260000000,2019-05-04 08:41:52+00:00, ,1.12E+18,en,0,0,0,16,,"RT @qz: The $T$ reality of house-hunting in Singapore: ????Sorry, your wife is Indian???? https://t.co/hF7QxOzyJg",racist,Xenophobia and racism,-1
1540000000,2021-08-05 08:51:14+00:00, ,1.42E+18,en,0,0,0,16,,RT @TheEconomist: The current soul-searching over $T$ in Singapore in itself is a sign of progress; such discussion was taboo until rece,racism,Xenophobia and racism,-1
9.89E+17,2012-11-23 04:44:51+00:00, ,2.72E+17,en,0,0,1,0,,@chenguoliyan how I know! Jingyi told me your $T$ accompanying Agnes back Singapore!,maid,Foreign domestic workers,0
1500000000,2021-05-20 06:31:03+00:00, ,1.40E+18,en,0,0,0,0,,"Singapore Demand (Local Transfer in Singapore).

&gt;&gt;E&amp;I DRAFTER/DRAFTSMAN (PCM $T$) - 2 NO'S
&gt;&gt;INSTRUMENTATION ENGINEER (PCM $T$) - 2 NO'S
Basic salary range S$ 1300 - 2200 PM (d$T$ends on exp. qualif$T$tion &amp; skills)  
OT 1.5 times 
$T$ to apply: PCM $T$",work permit,Migrant workers,0
113000000,2015-06-17 01:00:42+00:00, ,6.11E+17,en,0,0,0,0,,$T$ Levy in Singapore: Changes to the Levy From July 2015  http://t.co/AoYrrgaFS0 #Singapore #Payroll,foreign worker,Migrant workers,0
1.27E+18,2014-03-20 04:30:53+00:00, ,4.47E+17,en,0,0,0,0,,"The alleged murder is the third one involving a $T$ reported so far this year.

Earlier this... http://t.co/nlJbWr6Vc8",foreign worker,Migrant workers,-1
444000000,2012-08-01 03:36:35+00:00, ,2.31E+17,en,0,0,0,1,,RT @YongCheng94: What a $T$ boy.singapore dont allow $T$ dude @nabeeeeeeeeeel,racist,Xenophobia and racism,-1
3200000000,2020-11-14 22:36:31+00:00, ,1.33E+18,en,12,0,2,0,,"I am so excited, we have come SO FAR beating this virus.  Melbournians, Victorians &amp; all Australians should be proud for sticking to tough $T$.??
Now waiting for the travel bubble w/ NZ??, Singapore ??, Taiwan ??&amp; South Korea?? https://t.co/LUb9nKuPYe",travel restrictions,Travel restrictions,0
149000000,2010-01-27 09:35:00+00:00, ,8270000000,en,0,0,0,1,,41-year-old woman charged with $T$ abuse: SINGAPORE : A 41-year-old housewife was charged in a district court on Wedne http://url4.eu/1EoZg,maid,Foreign domestic workers,-1
200000000,2012-10-08 05:03:01+00:00, ,2.55E+17,en,1,0,1,2,,"$T$ aside, think before you post, guys. Ur social media is also ur soapbox. ????NTUC asst director sacked  http://t.co/2d53z0Y5????",racism,Xenophobia and racism,-1
8.68E+17,2012-11-27 06:59:15+00:00, ,2.73E+17,en,0,0,0,4,,RT @acorn: Chinese $T$ MRT drivers go on strike in Singapore. http://t.co/M57oX0B1 | The world is changing.,expatriate,Foreign talents,0
19271589,2020-05-13 01:33:28+00:00, ,1.26E+18,en,0,0,0,0,,"Are all vegan$T$ and hiding it badly, or is it just famous vegans? Need to start pre-emptively cancelling celebrities cos these has-beens always end up in Singapore being fawned over by middle aged people de$T$erate for a social life. except Richard Marx, he????s cool.",racist,Xenophobia and racism,-1
58435187,2012-07-28 04:50:57+00:00, ,2.29E+17,en,0,0,0,5,,"RT @mohangk: http://t.co/fH7g4SDr , NYTimes take on rising $T$  in #singapore",xenophobia,Xenophobia and racism,-1
604000000,2017-03-21 19:34:31+00:00, ,8.44E+17,en,0,0,1,0,,"Define most.
https://t.co/pcYKdUY4cG
You want to be these girls but then in Saudi-Arabia or Singapore? 

Bigotry against FOREIGNERS ??_ $T$ https://t.co/gZDYAHtDpf",racism,Xenophobia and racism,-1
2350000000,2021-11-02 14:32:46+00:00, ,1.46E+18,en,103,0,6,4,,"Just wanted to share a bit of good news amidst everything. Finally been given?to start our research project on international pg $T$ in the UK &amp; Singapore. @j_lee_16 &amp; I are working with Peidong Yang, @cheng_yien &amp; Brenda Yeoh @NUSgeog. Feel lucky.????",international students,Foreign talents,1
173000000,2018-03-04 00:43:09+00:00, ,9.70E+17,en,0,0,0,0,,"$T$ landlords in Malaysia to Chinese privilege in Singapore, why is Asia so hung up on skin tone? - South China Morning Post https://t.co/Ux9cJq8BaR",racist,Xenophobia and racism,-1
109000000,2021-02-24 14:53:17+00:00, ,1.36E+18,en,0,0,0,0,,"Foreign $T$ employed by infected SIA crew member and husband is sole Covid-19 community case
https://t.co/oHah4EmxlU",foreign worker,Migrant workers,-1
17713673,2016-08-25 06:06:42+00:00, ,7.69E+17,en,0,0,0,4336,,"RT @SoSingaporean: $T$ or not, these are outright display of chinese privilege that exists in Singapore and it has to stop https://t.co/",racist,Xenophobia and racism,-1
9.16E+17,2019-08-29 23:12:13+00:00, ,1.17E+18,en,0,0,0,12377,,"RT @SGNotoriousAFC: ""Which race in Singapore is the most $T$? Indian, Chinese, Malay""

This guy: https://t.co/irlpVCoQSR",racist,Xenophobia and racism,-1
7.39E+17,2014-04-23 06:50:55+00:00, ,4.59E+17,en,0,0,0,0,,Ex-property agent jailed for one year for $T$ abuse and other offences http://t.co/jm6qH7uyBa #Singapore #migrants #humanrights,maid,Foreign domestic workers,-1
355000000,2022-02-21 06:20:33+00:00, ,1.50E+18,en,2,0,0,0,,"In Singapore, every employer has to undergo an online certification to be eligible to hire a $T$ ($T$). Also, the $T$ undergoes a similar program where she/he is educated about rights &amp; responsibilities.
This is very much needed in India too.",FDW,Foreign domestic workers,0
1.43E+18,2017-02-16 10:18:27+00:00, ,8.32E+17,en,0,0,0,0,,New requirement for Singapore $T$ holders taking up directorships https://t.co/0C8i9BVFEa,employment pass,Foreign talents,0
34918368,2021-11-09 11:02:27+00:00, ,1.46E+18,en,0,0,0,3,,"RT @stb_sg: As we pr$T$are to safely resume more activities in Singapore, our $T$ have been updated. See the summary below, and_?
2547675497,2021-11-09 08:23:51+00:00, ,1457987284922372100,en,1,0,0,1, ,Good point",border measures,Travel restrictions,0
391000000,2019-09-12 15:52:14+00:00, ,1.17E+18,en,4,0,2,0,,"@JenniferMerode Why describe Singapore as a race to the bottom? They have a substantially higher standard of living than us, are growing faster, and have about 50% better productivity. Surely this is just a $T$ comment about East Asians?",racist,Xenophobia and racism,-1
7.83E+17,2015-12-20 07:03:05+00:00, ,6.78E+17,en,0,0,0,0,,"Abused $T$ says employer used metal hanger, rod to hit her https://t.co/hd8kS733Ur",maid,Foreign domestic workers,-1
89977184,2016-04-18 08:06:06+00:00, ,7.22E+17,en,0,0,0,0,,All travellers to Singapore to undergo thumbprint scans: $T$ - TODAYonline https://t.co/6SeSliuMRl,ICA,Immigration policy,0
34565395,2015-09-15 18:49:44+00:00, ,6.44E+17,en,0,0,0,0,,"NTU-MBA   p for $T$ in Singapore, 2016 http://t.co/9hcuXo5dpk",international students,Foreign talents,0
2210000000,2020-02-06 23:40:16+00:00, ,1.23E+18,en,0,0,0,0,,Indonesian $T$ jailed for lying that employer sexually assaulted her https://t.co/mt9WAr9VIX https://t.co/rlWib6bLal,maid,Foreign domestic workers,-1
1.29E+18,2020-03-24 22:14:45+00:00, ,1.24E+18,en,0,0,0,191,,"RT @MsMelChen: Singapore, Hong Kong and Taiwan fought the good fight as evidenced by the flattened shape of their $T$i curves, all without l",travel restrictions,Travel restrictions,0
571000000,2011-07-12 04:02:03+00:00, ,9.06E+16,en,0,0,0,0,,Should get a death sentence RT @thejakartaglobe: Indonesian $T$ in Singapore Jailed for Stabbing 7-Year-Old http://t.co/bGFy0Mz,maid,Foreign domestic workers,-1
288000000,2018-10-05 09:29:09+00:00, ,1.05E+18,en,2,0,0,0,,"Did anyone pause at the point where the black man says ""I have experienced $T$"" and the white man responds ""we're not $T$ because we're opening our immigration to allow more people from Singapore, Malaysia, and Thailand"". https://t.co/98Lw4wMpCh",racist,Xenophobia and racism,-1
203000000,2012-01-13 05:41:54+00:00, ,1.58E+17,en,0,0,0,0,,$T$ found stealing from employer leaps from 8th floor to death:  A $T$ leapt eight floors t... http://t.co/vz2gznxN,foreign worker,Migrant workers,-1
42808031,2016-06-28 11:41:54+00:00, ,7.48E+17,en,0,0,0,13,,RT @abnorxmal: Quick fact: $T$ is burgeoning it's become increasingly rampant towards the minority races in Singapore.,racism,Xenophobia and racism,-1
361000000,2013-12-09 08:25:04+00:00, ,4.10E+17,en,0,0,0,0,,"http://t.co/mKJfHZskiv
Fingers crossed people I know out there are keeping their heads down and are safe &amp; away from it all xxx",foreign worker,Migrant workers,0
1.16E+18,2021-12-22 23:23:22+00:00, ,1.47E+18,en,0,0,0,528,,RT @Thefinnigans: Let that sink into you. Singapore the world greatest international air travel hub is closing its international border for,travel restrictions,Travel restrictions,0
74819814,2021-08-03 12:01:15+00:00, ,1.42E+18,en,0,0,0,0,,"#HRNews These $T$ holders, who worked in the ICT industry between 2018-2020, have also been permanently banned from working in Singapore, Minister for Manpower Dr Tan See Leng has shared. https://t.co/hAvu9VdXxw",work pass,Migrant workers,0
2380000000,2020-04-24 13:49:31+00:00, ,1.25E+18,en,0,0,0,1794,,"RT @HudaSajali: that there is an alarming number of $T$ ppl in singapore. we out here trying to solve a global pandemic, instead ppl are",racist,Xenophobia and racism,-1
40262118,2020-08-27 13:30:54+00:00, ,1.30E+18,en,0,0,0,6,,"RT @ChannelNewsAsia: CECA does not give Indian nationals automatic access to citizenship, PR status, employment: MTI https://t.co/EWb9IfGFf",employment pass,Foreign talents,0
1.01E+18,2017-11-26 16:49:30+00:00, ,9.35E+17,en,0,0,0,1,,RT @intcitizens: Where to Retire https://t.co/A9TvEMh6rM #caymanislands #retireabroad #singapore #thailand https://t.co/6Y9welNIRK,expatriate,Foreign talents,0
9.03E+17,2013-02-27 15:01:45+00:00, ,3.07E+17,en,0,0,0,1,,RT @themadancer: WTF is happening in Singapore? #$T$ | Let's Face It and Say It Like It Is and Stop Stupid $T$s Anger http://t.co/ ...,racism,Xenophobia and racism,-1
1.17E+18,2020-09-21 07:33:23+00:00, ,1.31E+18,en,0,0,0,0,,"$T$ against Asians are so normalized it's heartbreaking. Both of my parents are Asian Americans. I was born in Singapore, I grew up in India so my accent isn't like Americans. When I had to fly back to the US and live there for a few months so many people laughed at my accent.",racism,Xenophobia and racism,-1
634000000,2010-12-03 11:47:09+00:00, ,1.07E+16,en,0,0,0,0,,[News] Indonesian $T$ who allegedly murdered a diabled girl may be younger: SINGAPORE- An Indonesian $T$ who a... http://bit.ly/e5yJlE,maid,Foreign domestic workers,-1
30907560,2014-12-17 23:49:49+00:00, ,5.45E+17,en,0,0,0,0,,"SINGAPORE (Dec. 17, 2014) _ $T$ to be required of foreign employees before starting work http://t.co/aBPHzS7fC2",employment pass,Foreign talents,0
1320000000,2013-09-09 05:32:24+00:00, ,3.77E+17,en,0,0,0,0,,Cyclists call police after spotting distraught $T$ sitting on edge of Bedok canal http://t.co/xMqyuQ9xvv #Singapore,maid,Foreign domestic workers,-1
1170000000,2020-10-12 19:04:59+00:00, ,1.32E+18,en,0,0,0,0,,"Engineering, Management, Warehouse, Construction Hotel Jobs in Singapore https://t.co/KTCxg5XXhR #hoteljobsinindia #hotelnaukri #hoteljobs",work permit,Migrant workers,0
8603062,2016-06-18 21:17:57+00:00, ,7.44E+17,en,0,0,0,6,,"RT @abnorxmal: At this point, I am so sure that $T$ will be and is the downfall of Singapore. ""Multi-racial country"" my foot.",racism,Xenophobia and racism,-1
